"dpi_max.OPG","EH_ID","infection_isolate","labels","Exp_ID"
6,"LM0167","Brandenburg64 (E. ferrisi)","CQT","Exp_004"
6,"LM0168","Brandenburg139 (E. ferrisi)","LRT","Exp_004"
6,"LM0170","Brandenburg139 (E. ferrisi)","GIS","Exp_004"
6,"LM0171","Brandenburg64 (E. ferrisi)","ITV","Exp_004"
6,"LM0173","Brandenburg64 (E. ferrisi)","LQS","Exp_004"
6,"LM0174","Brandenburg64 (E. ferrisi)","SUY","Exp_004"
6,"LM0178","Brandenburg64 (E. ferrisi)","GOW","Exp_004"
6,"LM0187","Brandenburg88 (E. falciformis)","FPR","Exp_005_1a"
6,"LM0204","Brandenburg64 (E. ferrisi)","AKU","Exp_005_1b"
6,"LM0206","Brandenburg64 (E. ferrisi)","BEM","Exp_005_1b"
6,"LM0207","Brandenburg64 (E. ferrisi)","KTU","Exp_005_1b"
6,"LM0209","Brandenburg64 (E. ferrisi)","DHQ","Exp_005_1b"
6,"LM0212","Brandenburg64 (E. ferrisi)","ABY","Exp_005_1b"
6,"LM0213","Brandenburg64 (E. ferrisi)","ABM","Exp_005_1b"
6,"LM0214","Brandenburg64 (E. ferrisi)","OTZ","Exp_005_1b"
6,"LM0215","Brandenburg64 (E. ferrisi)","GMX","Exp_005_1b"
6,"LM0216","Brandenburg64 (E. ferrisi)","BFX","Exp_005_1b"
6,"LM0217","Brandenburg64 (E. ferrisi)","DFN","Exp_005_1b"
6,"LM0219","Brandenburg64 (E. ferrisi)","CGL","Exp_005_1b"
6,"LM0220","Brandenburg64 (E. ferrisi)","AKR","Exp_005_1b"
6,"LM0224","Brandenburg64 (E. ferrisi)","IMR","Exp_005_1b"
6,"LM0261","Brandenburg64 (E. ferrisi)","GOS","Exp_005_2b"
6,"LM0263","Brandenburg64 (E. ferrisi)","MNQ","Exp_005_2b"
6,"LM0264","Brandenburg64 (E. ferrisi)","BGP","Exp_005_2b"
6,"LM0265","Brandenburg64 (E. ferrisi)","MRW","Exp_005_2b"
6,"LM0266","Brandenburg64 (E. ferrisi)","BLS","Exp_005_2b"
6,"LM0267","Brandenburg64 (E. ferrisi)","GOR","Exp_005_2b"
6,"LM0268","Brandenburg64 (E. ferrisi)","DKL","Exp_005_2b"
6,"LM0269","Brandenburg64 (E. ferrisi)","GNS","Exp_005_2b"
6,"LM0270","Brandenburg64 (E. ferrisi)","KQS","Exp_005_2b"
6,"LM0272","Brandenburg64 (E. ferrisi)","BHL","Exp_005_2b"
6,"LM0273","Brandenburg64 (E. ferrisi)","ALO","Exp_005_2b"
6,"LM0274","Brandenburg64 (E. ferrisi)","CEL","Exp_005_2b"
6,"LM0275","Brandenburg64 (E. ferrisi)","KSW","Exp_005_2b"
6,"LM0276","Brandenburg64 (E. ferrisi)","DJK","Exp_005_2b"
6,"LM0277","Brandenburg64 (E. ferrisi)","JVW","Exp_005_2b"
6,"LM0279","Brandenburg64 (E. ferrisi)","OSU","Exp_005_2b"
6,"LM0281","Brandenburg64 (E. ferrisi)","JKX","Exp_005_2b"
6,"LM0282","Brandenburg64 (E. ferrisi)","JPU","Exp_005_2b"
6,"LM0283","Brandenburg64 (E. ferrisi)","ABC","Exp_005_2b"
6,"LM0284","Brandenburg64 (E. ferrisi)","DIO","Exp_005_2b"
6,"LM0285","Brandenburg64 (E. ferrisi)","BPV","Exp_005_2b"
6,"LM0286","Brandenburg64 (E. ferrisi)","CHJ","Exp_005_2b"
6,"LM0287","Brandenburg64 (E. ferrisi)","GLQ","Exp_005_2b"
6,"LM0288","Brandenburg64 (E. ferrisi)","HOQ","Exp_005_2b"
6,"LM0291","Brandenburg64 (E. ferrisi)","KMT","Exp_005_2b"
6,"LM0292","Brandenburg64 (E. ferrisi)","AHK","Exp_005_2b"
6,"LM0293","Brandenburg64 (E. ferrisi)","GNY","Exp_005_2b"
6,"LM0294","Brandenburg64 (E. ferrisi)","AFS","Exp_005_2b"
6,"LM0295","Brandenburg64 (E. ferrisi)","ADL","Exp_005_2b"
7,"LM0123","Brandenburg64 (E. ferrisi)","AV","Exp_003"
7,"LM0127","Brandenburg139 (E. ferrisi)","GZ","Exp_003"
7,"LM0128","Brandenburg139 (E. ferrisi)","BT","Exp_003"
7,"LM0129","Brandenburg139 (E. ferrisi)","DV","Exp_003"
7,"LM0131","Brandenburg64 (E. ferrisi)","OY","Exp_003"
7,"LM0132","Brandenburg139 (E. ferrisi)","BZ","Exp_003"
7,"LM0134","Brandenburg64 (E. ferrisi)","MV","Exp_003"
7,"LM0139","Brandenburg139 (E. ferrisi)","CJ","Exp_003"
7,"LM0140","Brandenburg64 (E. ferrisi)","FH","Exp_003"
7,"LM0153","Brandenburg139 (E. ferrisi)","CPV","Exp_004"
7,"LM0164","Brandenburg139 (E. ferrisi)","NSZ","Exp_004"
7,"LM0169","Brandenburg64 (E. ferrisi)","GSZ","Exp_004"
7,"LM0177","Brandenburg139 (E. ferrisi)","MNW","Exp_004"
7,"LM0193","Brandenburg88 (E. falciformis)","BDL","Exp_005_1a"
7,"LM0208","Brandenburg64 (E. ferrisi)","FHX","Exp_005_1b"
7,"LM0210","Brandenburg64 (E. ferrisi)","DRW","Exp_005_1b"
7,"LM0211","Brandenburg64 (E. ferrisi)","IOQ","Exp_005_1b"
7,"LM0218","Brandenburg64 (E. ferrisi)","AKV","Exp_005_1b"
7,"LM0221","Brandenburg64 (E. ferrisi)","GTU","Exp_005_1b"
7,"LM0222","Brandenburg64 (E. ferrisi)","HJN","Exp_005_1b"
7,"LM0223","Brandenburg64 (E. ferrisi)","JLW","Exp_005_1b"
7,"LM0225","Brandenburg64 (E. ferrisi)","MWX","Exp_005_1b"
7,"LM0226","Brandenburg64 (E. ferrisi)","CSV","Exp_005_1b"
7,"LM0237","Brandenburg88 (E. falciformis)","CKV","Exp_005_2a"
7,"LM0250","Brandenburg88 (E. falciformis)","AKN","Exp_005_2a"
7,"LM0253","Brandenburg88 (E. falciformis)","BEW","Exp_005_2a"
7,"LM0271","Brandenburg64 (E. ferrisi)","AGP","Exp_005_2b"
